epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,18770.8,1.28103,0.69186,1.04671,0.8108,0.70767,0.80496,0.39238,1.73809,0.7634,1.16732,0.001255,0.001255,0.001255
108,18946.5,1.26272,0.68332,1.0397,0.8117,0.71009,0.80547,0.39271,1.73792,0.7629,1.16742,0.0011725,0.0011725,0.0011725
109,19121.8,1.2641,0.68611,1.03982,0.81104,0.70917,0.80478,0.39308,1.73644,0.7619,1.16711,0.00109,0.00109,0.00109
110,19297.1,1.2658,0.68205,1.03572,0.80831,0.71009,0.80499,0.39312,1.73608,0.75957,1.16713,0.0010075,0.0010075,0.0010075
111,19472.9,1.26957,0.65872,1.03718,0.81361,0.70917,0.80848,0.39396,1.73667,0.75907,1.1669,0.000925,0.000925,0.000925
112,19648.2,1.24844,0.65089,1.03497,0.81049,0.71018,0.80732,0.39326,1.7362,0.75899,1.16705,0.0008425,0.0008425,0.0008425
113,19823.4,1.24421,0.64611,1.03179,0.8108,0.71101,0.80729,0.39419,1.73406,0.75868,1.16644,0.00076,0.00076,0.00076
114,19998.8,1.23022,0.63589,1.02643,0.80912,0.71167,0.80812,0.3941,1.73337,0.75777,1.16648,0.0006775,0.0006775,0.0006775
115,20174.4,1.22613,0.63292,1.02293,0.81178,0.70917,0.80812,0.39451,1.73127,0.75674,1.16605,0.000595,0.000595,0.000595
116,20349.7,1.21692,0.62814,1.01878,0.81498,0.71122,0.80963,0.3957,1.7298,0.75566,1.16554,0.0005125,0.0005125,0.0005125
117,20525.2,1.2086,0.62479,1.01613,0.81446,0.71376,0.81086,0.39742,1.72828,0.75553,1.1646,0.00043,0.00043,0.00043
118,20700.7,1.20411,0.62402,1.01588,0.81372,0.71376,0.8116,0.39842,1.72645,0.7545,1.16416,0.0003475,0.0003475,0.0003475
119,20875.8,1.20205,0.62218,1.01417,0.81186,0.71193,0.81124,0.39833,1.72543,0.75428,1.16403,0.000265,0.000265,0.000265
120,21051,1.19343,0.61675,1.00973,0.81357,0.71193,0.81083,0.39815,1.72426,0.75327,1.16396,0.0001825,0.0001825,0.0001825
